Matchup,Winrate
Winrate_vs_Boros_Energy,0.46
Winrate_vs_Eldrazi_Ramp,0.45
Winrate_vs_Izzet_Prowess,0.38
Winrate_vs_Amulet_Titan,0.45
Winrate_vs_Domain_Aggro,0.45
Winrate_vs_Dimir_Frog,0.35
Winrate_vs_Orzhov_Blink,0.44
Winrate_vs_Mono_Blue_Belcher,0.54
Winrate_vs_Ruby_Storm,0.37
Winrate_vs_Esper_Blink,0.45
Winrate_vs_Affinity,0.42
Winrate_vs_Eldrazi_Bloodchief_Combo,0.44
Winrate_vs_Azorius_Control,0.3
Winrate_vs_Esper_Reanimator,0.43
Winrate_vs_Eldrazi_Tron,0.38
Winrate_vs_Samwise_Combo,0.28
Winrate_vs_Mill,0.14
Winrate_vs_Hollow_One,0.15
Winrate_vs_Jeskai_Ascendancy,0.25
Winrate_vs_Jeskai_Energy_Control,0.38
Winrate_vs_Neoform,0.53
Winrate_vs_Living_End,0.36
Winrate_vs_Grixis_Reanimator,0.24
Winrate_vs_Eldrazi_Aggro,0.25
Winrate_vs_Mardu_Energy,0.08
Winrate_vs_Golgari_Yawgmoth,0.25
Winrate_vs_Merfolk,0.12
Winrate_vs_Burn,0.09
Winrate_vs_Jeskai_Cori-Steel,0.35
Winrate_vs_Hammer_Time,0.33
Winrate_vs_Belcher,0.27
Winrate_vs_Esper_Oculus,0.25
Winrate_vs_Thopter_Control,0.37
Winrate_vs_Izzet_Murktide,0.26
Winrate_vs_Mono_Black_Necrodominance,0.1
Winrate_vs_Simic_Ritual,0.04
Winrate_vs_Eldrazi_Breach,0.11
Winrate_vs_Prison_Tron,0.11
Winrate_vs_UW_Ephemerate,0.21
Winrate_vs_Dimir_Oculus,0.28
Winrate_vs_Grixis_Frog,0.28
Winrate_vs_Rakdos_Burn,0.05
Winrate_vs_Jund_Saga,0.32
Winrate_vs_Splinter_Twin,0.02
Winrate_vs_Grixis_Control,0.12
Winrate_vs_Mono_Blue_Tron,0.11
Winrate_vs_Infect,0.14
Winrate_vs_Cori-Steel_Affinity,0.09
Winrate_vs_Esper_Control,0.19
Winrate_vs_Grixis_Death's_Shadow,0.04
Winrate_vs_Jeskai_Prowess,0.12
Winrate_vs_4_Color_Omnath,0.19
Winrate_vs_Izzet_Metalcraft,0.05
Winrate_vs_Jund_Creativity,0.3
Winrate_vs_Temur_Breach,0.19
Winrate_vs_Dimir_Cookbook,0.0
Winrate_vs_Mono_Green_Tron,0.12
Winrate_vs_Lantern_Control,0.0
Winrate_vs_Indomitable_Creativity,0.22
Winrate_vs_Izzet_Wizards,0.19
Winrate_vs_Mono_Black_Eldrazi_Bones,0.07
Winrate_vs_Dredge,0.04
Winrate_vs_Domain_Cascade,0.0
Winrate_vs_Temur_Song,0.09
Winrate_vs_Mono_Blue_Turns,0.04
Winrate_vs_Orzhov_Necrodominance,0.15
Winrate_vs_GW_Auras,0.01
Winrate_vs_Hardened_Scales,0.12
Winrate_vs_Gifts_Storm,0.0
Winrate_vs_Goblins,0.0
Winrate_vs_Izzet_Phoenix,0.29
Winrate_vs_Esper_Frog,0.19
Winrate_vs_Mono_Red_Prowess,0.07
Winrate_vs_Through_the_Breach,0.01
Winrate_vs_Mono_White_Control,0.01
Winrate_vs_Soultrader,0.05
Winrate_vs_Elves,0.09
Winrate_vs_Rakdos_Reanimator,0.12
Winrate_vs_Humans,0.01
Winrate_vs_Kethis_Combo,0.02
Winrate_vs_Jeskai_Wizards,0.29
Winrate_vs_Dryad_Valakut,0.0
Winrate_vs_Bant_Ephemerate,0.01
Winrate_vs_Golgari_Saga,0.07
Winrate_vs_Jeskai_Waymaster,0.22
Winrate_vs_4_Color_Helga,0.01
Winrate_vs_Elementals,0.07
Winrate_vs_Colorless_Eldrazi,0.01
